track_uri,track_name,artist_name,artist_uri,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
14y4i6HQDH4sAfw69vl8dl,Southy Love,Peruzzi,5ywjxFhmhHGQBsK3DundNf,Rum & Boogie,55,0.863,0.831,10,-6.781,0,0.0612,0.144,0.0094,0.0399,0.426,113.019,audio_features,14y4i6HQDH4sAfw69vl8dl,spotify:track:14y4i6HQDH4sAfw69vl8dl,https://api.spotify.com/v1/tracks/14y4i6HQDH4sAfw69vl8dl,https://api.spotify.com/v1/audio-analysis/14y4i6HQDH4sAfw69vl8dl,209200,4,afrobeats
0C8RxBixBaXYc5enAXIm28,Hallelu,Masterkraft,0lEUtJddtvvDlxtEmF9j0m,Hallelu,54,0.691,0.794,1,-4.251,0,0.278,0.0739,0.0,0.0816,0.737,112.849,audio_features,0C8RxBixBaXYc5enAXIm28,spotify:track:0C8RxBixBaXYc5enAXIm28,https://api.spotify.com/v1/tracks/0C8RxBixBaXYc5enAXIm28,https://api.spotify.com/v1/audio-analysis/0C8RxBixBaXYc5enAXIm28,213493,4,afrobeats
3Rp8FNCr3yxM3fGFy99LN8,Smile (feat. H.E.R.),WizKid,3tVQdUvClmAT7URs9V3rsp,Smile (feat. H.E.R.),52,0.673,0.74,4,-4.945,0,0.0847,0.0258,0.0,0.127,0.723,90.026,audio_features,3Rp8FNCr3yxM3fGFy99LN8,spotify:track:3Rp8FNCr3yxM3fGFy99LN8,https://api.spotify.com/v1/tracks/3Rp8FNCr3yxM3fGFy99LN8,https://api.spotify.com/v1/audio-analysis/3Rp8FNCr3yxM3fGFy99LN8,251846,4,afrobeats
5bvnqVuq7UFl0txSlHpsfS,LOYAL (feat. Drake),PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,LOYAL (feat. Drake),58,0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,audio_features,5bvnqVuq7UFl0txSlHpsfS,spotify:track:5bvnqVuq7UFl0txSlHpsfS,https://api.spotify.com/v1/tracks/5bvnqVuq7UFl0txSlHpsfS,https://api.spotify.com/v1/audio-analysis/5bvnqVuq7UFl0txSlHpsfS,197973,4,afrobeats
1ndeyZurGdaWqLh3srX0ia,Antidote (feat. Adekunle Gold),Nao,7aFTOGFDEqDtJUCziLVsVC,Antidote (feat. Adekunle Gold),64,0.784,0.771,11,-3.897,0,0.0678,0.205,1.18e-06,0.194,0.831,100.006,audio_features,1ndeyZurGdaWqLh3srX0ia,spotify:track:1ndeyZurGdaWqLh3srX0ia,https://api.spotify.com/v1/tracks/1ndeyZurGdaWqLh3srX0ia,https://api.spotify.com/v1/audio-analysis/1ndeyZurGdaWqLh3srX0ia,202627,4,afrobeats
33z5crv3IO5U2BOi8xod92,Something New (feat. Ty Dolla $ign),Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Something New (feat. Ty Dolla $ign),54,0.814,0.635,7,-6.609,0,0.0809,0.0935,0.0,0.0892,0.784,87.581,audio_features,33z5crv3IO5U2BOi8xod92,spotify:track:33z5crv3IO5U2BOi8xod92,https://api.spotify.com/v1/tracks/33z5crv3IO5U2BOi8xod92,https://api.spotify.com/v1/audio-analysis/33z5crv3IO5U2BOi8xod92,200774,4,afrobeats
4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Summer Pack,69,0.76,0.579,0,-7.374,1,0.0567,0.0127,0.00344,0.106,0.129,100.011,audio_features,4j3GWI86JvSaF0BLdmgcfF,spotify:track:4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/tracks/4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/audio-analysis/4j3GWI86JvSaF0BLdmgcfF,213600,4,afrobeats
6xW2g0c5uSoa3S6xk9eI4j,W (feat. Gunna),Koffee,1gWjcmBsveEYMxOZ0VRi32,W (feat. Gunna),66,0.856,0.721,6,-6.813,0,0.0779,0.178,2.14e-05,0.0913,0.902,100.98,audio_features,6xW2g0c5uSoa3S6xk9eI4j,spotify:track:6xW2g0c5uSoa3S6xk9eI4j,https://api.spotify.com/v1/tracks/6xW2g0c5uSoa3S6xk9eI4j,https://api.spotify.com/v1/audio-analysis/6xW2g0c5uSoa3S6xk9eI4j,230151,4,afrobeats
2TNi9CCankkFmwLpUiutUx,Diabla,Izzy La Reina,7J8ap7LRmCnCbs9bAwJKFi,Diabla,54,0.738,0.743,10,-4.974,0,0.126,0.138,0.0,0.153,0.513,96.086,audio_features,2TNi9CCankkFmwLpUiutUx,spotify:track:2TNi9CCankkFmwLpUiutUx,https://api.spotify.com/v1/tracks/2TNi9CCankkFmwLpUiutUx,https://api.spotify.com/v1/audio-analysis/2TNi9CCankkFmwLpUiutUx,144761,4,afrobeats
2mzM4Y0Rnx2BDZqRnhQ5Q6,Free Mind,Tems,687cZJR45JO7jhk1LHIbgq,For Broken Ears,73,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,audio_features,2mzM4Y0Rnx2BDZqRnhQ5Q6,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/tracks/2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/audio-analysis/2mzM4Y0Rnx2BDZqRnhQ5Q6,247579,5,afrobeats
