track_uri,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
75u7OvDfLHg0574MoNQhyd,Caro (feat. Lax),0.698,0.944,9.0,-2.48,0.0,0.0628,0.0214,4.68e-05,0.485,0.915,122.183,audio_features,75u7OvDfLHg0574MoNQhyd,spotify:track:75u7OvDfLHg0574MoNQhyd,https://api.spotify.com/v1/tracks/75u7OvDfLHg0574MoNQhyd,https://api.spotify.com/v1/audio-analysis/75u7OvDfLHg0574MoNQhyd,246832.0,4.0,afrobeats
15aJ5bXwxMiTQCqCZrJtAA,Mo Gbono Feli Feli,0.772,0.859,10.0,-6.396,0.0,0.0896,0.0753,0.00598,0.0718,0.51,105.962,audio_features,15aJ5bXwxMiTQCqCZrJtAA,spotify:track:15aJ5bXwxMiTQCqCZrJtAA,https://api.spotify.com/v1/tracks/15aJ5bXwxMiTQCqCZrJtAA,https://api.spotify.com/v1/audio-analysis/15aJ5bXwxMiTQCqCZrJtAA,258000.0,4.0,afrobeats
6aWJGYvtifenSm5hYVYqii,First of All,0.923,0.702,0.0,-6.031,1.0,0.246,0.066,3.09e-05,0.0999,0.793,124.98,audio_features,6aWJGYvtifenSm5hYVYqii,spotify:track:6aWJGYvtifenSm5hYVYqii,https://api.spotify.com/v1/tracks/6aWJGYvtifenSm5hYVYqii,https://api.spotify.com/v1/audio-analysis/6aWJGYvtifenSm5hYVYqii,186667.0,4.0,afrobeats
2dguh4zWtrZK6VIJsEsXhe,Wo Onane No,0.842,0.61,9.0,-6.91,1.0,0.096,0.0281,0.0288,0.0927,0.644,110.003,audio_features,2dguh4zWtrZK6VIJsEsXhe,spotify:track:2dguh4zWtrZK6VIJsEsXhe,https://api.spotify.com/v1/tracks/2dguh4zWtrZK6VIJsEsXhe,https://api.spotify.com/v1/audio-analysis/2dguh4zWtrZK6VIJsEsXhe,209502.0,4.0,afrobeats
2iTzNWT7x2NXpMngGZQzPd,U Go Kill Me (feat. El),0.863,0.886,9.0,-2.656,0.0,0.0796,0.121,1.07e-06,0.06,0.781,118.968,audio_features,2iTzNWT7x2NXpMngGZQzPd,spotify:track:2iTzNWT7x2NXpMngGZQzPd,https://api.spotify.com/v1/tracks/2iTzNWT7x2NXpMngGZQzPd,https://api.spotify.com/v1/audio-analysis/2iTzNWT7x2NXpMngGZQzPd,225626.0,4.0,afrobeats
5iv7WkYexGay1BNXXLWYI1,Seihor (feat. Dblack),0.902,0.897,5.0,-4.304,0.0,0.225,0.354,6.27e-05,0.119,0.661,110.96,audio_features,5iv7WkYexGay1BNXXLWYI1,spotify:track:5iv7WkYexGay1BNXXLWYI1,https://api.spotify.com/v1/tracks/5iv7WkYexGay1BNXXLWYI1,https://api.spotify.com/v1/audio-analysis/5iv7WkYexGay1BNXXLWYI1,237035.0,4.0,afrobeats
5bPpNuK3qgt1UbI18QEUYx,Final (Baba Nla),0.793,0.726,8.0,-6.693,0.0,0.082,0.163,0.0,0.0934,0.902,105.059,audio_features,5bPpNuK3qgt1UbI18QEUYx,spotify:track:5bPpNuK3qgt1UbI18QEUYx,https://api.spotify.com/v1/tracks/5bPpNuK3qgt1UbI18QEUYx,https://api.spotify.com/v1/audio-analysis/5bPpNuK3qgt1UbI18QEUYx,160000.0,4.0,afrobeats
6vZyBHBd2evVUqX2USFcdm,Gobe,0.631,0.951,9.0,-5.3,1.0,0.109,0.171,0.0,0.205,0.776,124.011,audio_features,6vZyBHBd2evVUqX2USFcdm,spotify:track:6vZyBHBd2evVUqX2USFcdm,https://api.spotify.com/v1/tracks/6vZyBHBd2evVUqX2USFcdm,https://api.spotify.com/v1/audio-analysis/6vZyBHBd2evVUqX2USFcdm,238228.0,4.0,afrobeats
6YrUPrGLY5CzrgyleP5kgG,Couper décaler,0.867,0.771,0.0,-7.59,1.0,0.103,0.0392,0.0112,0.0726,0.853,140.002,audio_features,6YrUPrGLY5CzrgyleP5kgG,spotify:track:6YrUPrGLY5CzrgyleP5kgG,https://api.spotify.com/v1/tracks/6YrUPrGLY5CzrgyleP5kgG,https://api.spotify.com/v1/audio-analysis/6YrUPrGLY5CzrgyleP5kgG,329561.0,4.0,afrobeats
1urrkZaxQUFsoQD54wvjY3,Boom Boom Tah,0.78,0.812,2.0,-6.263,0.0,0.0676,0.432,8.82e-05,0.264,0.791,126.028,audio_features,1urrkZaxQUFsoQD54wvjY3,spotify:track:1urrkZaxQUFsoQD54wvjY3,https://api.spotify.com/v1/tracks/1urrkZaxQUFsoQD54wvjY3,https://api.spotify.com/v1/audio-analysis/1urrkZaxQUFsoQD54wvjY3,260258.0,4.0,afrobeats
5J4FiKDJIdJ8AKx2gaWMt4,Your Number,0.588,0.61,9.0,-5.008,0.0,0.234,0.534,0.0,0.303,0.645,99.926,audio_features,5J4FiKDJIdJ8AKx2gaWMt4,spotify:track:5J4FiKDJIdJ8AKx2gaWMt4,https://api.spotify.com/v1/tracks/5J4FiKDJIdJ8AKx2gaWMt4,https://api.spotify.com/v1/audio-analysis/5J4FiKDJIdJ8AKx2gaWMt4,204081.0,4.0,afrobeats
2JOO9SzSalKixThDuSAtwY,Premier Gaou,0.842,0.902,7.0,-5.094,0.0,0.0602,0.138,0.0,0.0879,0.937,119.014,audio_features,2JOO9SzSalKixThDuSAtwY,spotify:track:2JOO9SzSalKixThDuSAtwY,https://api.spotify.com/v1/tracks/2JOO9SzSalKixThDuSAtwY,https://api.spotify.com/v1/audio-analysis/2JOO9SzSalKixThDuSAtwY,292813.0,4.0,afrobeats
04spFw8MYyF8JtnziscOM7,Holla At Your Boy,0.479,0.865,10.0,-4.964,1.0,0.362,0.21,0.0,0.0956,0.83,180.138,audio_features,04spFw8MYyF8JtnziscOM7,spotify:track:04spFw8MYyF8JtnziscOM7,https://api.spotify.com/v1/tracks/04spFw8MYyF8JtnziscOM7,https://api.spotify.com/v1/audio-analysis/04spFw8MYyF8JtnziscOM7,261642.0,4.0,afrobeats
0ygTK8RCFVhyOKUNG1n4jz,Azonto Ghost,0.824,0.653,7.0,-5.826,1.0,0.0821,0.443,0.024,0.078,0.924,120.02,audio_features,0ygTK8RCFVhyOKUNG1n4jz,spotify:track:0ygTK8RCFVhyOKUNG1n4jz,https://api.spotify.com/v1/tracks/0ygTK8RCFVhyOKUNG1n4jz,https://api.spotify.com/v1/audio-analysis/0ygTK8RCFVhyOKUNG1n4jz,220021.0,4.0,afrobeats
